Date,Open,High,Low,Close,Adj Close,Volume
08-03-2012,6.622,6.698,6.608,6.614,6.614,3166500
09-03-2012,6.64,7.062,6.64,6.948,6.948,7767000
12-03-2012,6.938,7.258,6.92,7.202,7.202,9816500
13-03-2012,7.302,7.318,7.1,7.218,7.218,5008000
14-03-2012,7.2,7.2,6.96,7.058,7.058,4257500
15-03-2012,7.056,7.096,6.956,7,7,2858000
16-03-2012,6.98,7.178,6.966,7.064,7.064,3646500
19-03-2012,7.052,7.064,6.908,6.996,6.996,5078000
20-03-2012,6.996,7.04,6.914,6.992,6.992,2835000
21-03-2012,6.988,7.06,6.92,7.03,7.03,3036000
22-03-2012,6.994,7.03,6.86,6.88,6.88,2612000
23-03-2012,6.852,6.926,6.63,6.816,6.816,5853000
26-03-2012,7.118,7.618,7.008,7.48,7.48,15702500
27-03-2012,7.432,7.99,7.406,7.588,7.588,12696000
28-03-2012,7.556,7.688,7.422,7.57,7.57,4775000
29-03-2012,7.638,7.638,7.406,7.466,7.466,3982000
30-03-2012,7.504,7.588,7.336,7.448,7.448,4432000
02-04-2012,7.466,7.594,7.306,7.316,7.316,5143000
03-04-2012,7.34,7.694,7.334,7.602,7.602,5490500
04-04-2012,7.054,7.098,6.938,7,7,22409000
05-04-2012,7.02,7.088,6.882,6.896,6.896,7547000
09-04-2012,6.82,6.858,6.62,6.63,6.63,8278500
10-04-2012,6.63,6.77,6.42,6.492,6.492,9238500
11-04-2012,6.648,6.658,6.402,6.618,6.618,5527500
12-04-2012,6.754,6.896,6.584,6.688,6.688,5169500
13-04-2012,6.788,6.808,6.57,6.718,6.718,3248000
16-04-2012,6.682,6.74,6.418,6.45,6.45,5498000
17-04-2012,6.486,6.614,6.408,6.448,6.448,5577500
18-04-2012,6.418,6.55,6.306,6.532,6.532,4115500
19-04-2012,6.55,6.686,6.5,6.632,6.632,3874500
20-04-2012,6.628,6.746,6.588,6.632,6.632,4109000
23-04-2012,6.572,6.594,6.342,6.388,6.388,4454000
24-04-2012,6.364,6.44,6.2,6.364,6.364,3372500
25-04-2012,6.414,6.598,6.414,6.582,6.582,3561000
26-04-2012,6.592,6.704,6.582,6.698,6.698,2126500
27-04-2012,6.72,6.726,6.582,6.668,6.668,2955000
30-04-2012,6.654,6.672,6.516,6.626,6.626,2069500
